Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
The charms: Search, Share, Start, Devices, and Settings	**The charms: Search, Share, Start, Devices, and Settings**\n\nNo matter where you are, the charms help you do the things you do most oftenâ€”like search, share links and photos, print, and change settings. The charms are context sensitive, meaning that what you can do depends on where you are. For example, if you open the Settings charm from the Start screen, youâ€™ll see settings related to the Start screen. And if you open the Settings charm from an app, youâ€™ll see settings for that app.\n\nThe five charmsâ€”Search, Share, Start, Devices, and Settingsâ€”are always available on the right side of your screen.\n\nHereâ€™s how to open the charms:\n\n| Touch | Swipe in from the right edge, and then tap the one you want. |\n| --- | --- |\n| Mouse | Move your pointer into the upper-right or lower-right corner, and then move it up or down and click the one you want. |\n| Keyboard | Press Windows logo key +C. To open a specific charm, press one of the charm keys on Touch Cover or Type Cover (theyâ€™re on the top row). |\n\nâœª âœª âœª\n\nHere's what you can do with the charms:\n\n Search Search for anything. Search the app you're in, another app, or search Surface for an app, setting, or file. For more info, see the How to search section in this guide.\n\n Share Share files and info with people you know or send info to another app without leaving the app you're in. You can email photos to your mom or send a link to a note-taking app like OneNote. For more info, see the Share photos, links, and more section. Start Go to your Start screen. Or if you're already on Start, you can use this charm to go back to the last app you were using.\n\n Devices Use devices that are connected to your Surface, both wired and wireless. You can print from an app or stream your latest home movie to your TV. \n\nSettings Change settings for apps and Surface.\n\nWhen you open Settings, the items in the upper-right corner change depending on where you are. For example, if you open Settings from an app, youâ€™ll see settings for that app.\n\nWhen you open Settings, the items in lower-right corner are always the same. Here youâ€™ll find PC settings like network connection, volume, brightness, notifications, power (shutdown and restart), and keyboard. For more info, see the Change your settings section in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2944
Copy, and paste using touch	**Copy, and paste using touch**\n\nHereâ€™s how to copy and paste text using touch:\n\nSelect text Tap a word. To extend the selection, press and hold either circle and slide your finger. Let go when the selection is what you want.\n\nCopy Now, tap the highlighted text and then tap Copy. \n\nPaste Move to where you want to insert the text. Press and hold a couple seconds, then let go and tap Paste. \n\nTip\n\nYou can also press Ctrl+C to copy and Ctrl+V to paste.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2945
Touch - The charms: Search, Share, Start, Devices, and Settings	** Touch**\nis Swipe in from the right edge, and then tap the one you want.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2946
Mouse - The charms: Search, Share, Start, Devices, and Settings	** Mouse**\nis Move your pointer into the upper-right or lower-right corner, and then move it up or down and click the one you want.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2947
Keyboard - The charms: Search, Share, Start, Devices, and Settings	** Keyboard**\nis Press Windows logo key +C. To open a specific charm, press one of the charm keys on Touch Cover or Type Cover (theyâ€™re on the top row).	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2948
The familiar desktop	After introducing all this new stuff, hereâ€™s something familiar. The Windows desktopâ€”with its taskbar, folders, and iconsâ€”is still here, with a new taskbar and streamlined file management.\n\nTo get to the desktop:	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2949
With touch, - The familiar desktop	from the Start screen, tap or click Desktop. (It is a tile.)	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2950
With a keyboard,	press the Windows logo key +D. âœª\n\nâœª\n\nThe desktop is where youâ€™ll go to run desktop apps, like Windows 7 programs, and do things like copy files or use Control Panel. File Explorer (formerly called Windows Explorer) is the app you use to browse files and folders, both on Surface or your network. Learn more about this in the Files and Folders section of this guide.\n\nTip\n\nWhen youâ€™re at the desktop, remember you can quickly go back to Start by pressing the Windows logo  on Surface or your keyboard. To switch back and forth, use the Windows logo key +D to go to the desktop and the Windows logo key  to go to Start.\n\n*   How to search\n\nYou can use the Search charm to find apps, settings, and files. If you are on the Start screen, you can just start typing. Hereâ€™s how:\n\n  Go to the Start screen and start typing what you want to find. The search results update as you type. Search defaults to Apps, but you can choose Settings or Files depending on what youâ€™re looking for.\n\nYou can also search within an app by using the Search charm. For example, you can use the Search charm to find a song in the Music app.\n\nTo search for messages in the Mail app:\n\n1.  Open the Mail app (from the Start screen, tap or click Mail). \n\n2.  If you have multiple email accounts, select an email account in the lower-left corner.\n\n3.  Open the Search charm and type what you want to find in the search box.\n\nTo search the Internet:\n\n*   Open the Search charm, type what you want to find in the search box, and then choose  Internet Explorer from the list of apps.Tips\n\n*   Change search settings: Open the Settings charm, then tap or click Change PC settings. Then tap or click Search. \n\n*   You can also search for files using File Explorer. For more info, see [Search for files in File Explorer](http://windows.microsoft.com/en-us/windows-8/search-file-explorer) on Windows.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2951
What moved or changed in Windows 8?	**What moved or changed in Windows 8?**\n\nIf youâ€™re familiar with Windows 7, hereâ€™s the scoop on whatâ€™s moved or changed in Windows 8.\n\n| Search | The Search charm is a new way to search for apps, settings, and files. For more info, see How to search in this guide. |\n| --- | --- |\n| Start button | The Start button is now the Start screen. You can start any app or program from the Start screen.  To access other items that used to be on the Start button, move your mouse pointer to the lower-left corner and when an image of Start appears, right-click it. A menu appears with many of the commands that were on the Start menu in previous versions of Windowsâ€”for example, Control Panel, File Explorer, and Run. (You can also press Windows logo key +X to access this menu.) |\n| Shut down or restart | To shut down or restart Surface: 1.  Swipe in from the right edge of the screen, and then tap Settings. 2.  Tap Power, and then tap Shut down or Restart. |\n| Desktop | The desktop is still around. Hereâ€™s how to go to the desktop: ï‚·  With touch or a mouse, from the Start screen, tap or click Desktop. (It is a tile.) ï‚·  With a keyboard, press the Windows logo key +D. |\n| Control Panel | Control Panel is still available, and some settings are available in PC Settings. To learn about this, see Change your settings in this guide. |\n\nâœª\n\n| Windows Help | Go to the desktop, open the Settings charm, and then tap or click Help. Windows Help and Support opens. Windows help and support content is also available at [Windows.com](http://windows.microsoft.com/en-US/windows/home) [.](http://windows.microsoft.com/en-US/windows/home) |\n| --- | --- |\n| Print | Printing from desktop apps hasnâ€™t changed. To print from a Windows Store app, open the Devices charm, and then select your printer. For more info, see the Printing topic in this guide. |\n| Close a program | Closing desktop apps hasnâ€™t changed. To close a Windows Store app, drag the app to the bottom of the screen. For more info, see Close apps in this guide. |\n| Find a list of all apps and programs | To see a list of installed apps: 1.  Swipe in from the right edge of the screen, and then tap Start. 2.  On the Start screen, swipe up from the bottom edge or down from the top edge, and then tap All apps. |\n| Install apps and programs | Windows 8 comes with a new store for apps called the Windows Store. You can also install Windows 7 programs. For more info about this, see Install apps and programs in this guide. |\n| Change date and time | Here's how to change the date and time: 1.  Open the Search charm, type Set the date and time, tap or click Settings, and then tap or click Set the time and date. 2.  Tap or click Change date and time. 3.  Use the controls to change the date and time. |	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2952
Search - What moved or changed in Windows 8?	** Search**\nis The Search charm is a new way to search for apps, settings, and files. For more info, see How to search in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2953
Start button - What moved or changed in Windows 8?	** Start button**\nis The Start button is now the Start screen. You can start any app or program from the Start screen.  To access other items that used to be on the Start button, move your mouse pointer to the lower-left corner and when an image of Start appears, right-click it. A menu appears with many of the commands that were on the Start menu in previous versions of Windowsâ€”for example, Control Panel, File Explorer, and Run. (You can also press Windows logo key +X to access this menu.)	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2954
Shut down or restart - What moved or changed in Windows 8?	** Shut down or restart**\nis To shut down or restart Surface: 1. Swipe in from the right edge of the screen, and then tap Settings. 2. Tap Power, and then tap Shut down or Restart.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2955
Desktop - What moved or changed in Windows 8?	** Desktop**\nis The desktop is still around. Hereâ€™s how to go to the desktop:  ï‚· With touch or a mouse, from the Start screen, tap or click Desktop. (It is a tile.)  ï‚· With a keyboard, press the Windows logo key +D.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2956
Control Panel - What moved or changed in Windows 8?	** Control Panel**\nis Control Panel is still available, and some settings are available in PC Settings. To learn about this, see Change your settings in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2957
Windows Help - What moved or changed in Windows 8?	** Windows Help**\nis Go to the desktop, open the Settings charm, and then tap or click Help. Windows Help and Support opens. Windows help and support content is also available at Windows.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2958
Print - What moved or changed in Windows 8?	** Print**\nis Printing from desktop apps hasnâ€™t changed. To print from a Windows Store app, open the Devices charm, and then select your printer. For more info, see the Printing topic in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2959
Close a program - What moved or changed in Windows 8?	** Close a program**\nis Closing desktop apps hasnâ€™t changed. To close a Windows Store app, drag the app to the bottom of the screen. For more info, see Close apps in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2960
Find a list of all apps and programs - What moved or changed in Windows 8?	** Find a list of all apps and programs**\nis To see a list of installed apps: 1. Swipe in from the right edge of the screen, and then tap Start. 2. On the Start screen, swipe up from the bottom edge or down from the top edge, and then tap All apps.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2961
Install apps and programs - What moved or changed in Windows 8?	** Install apps and programs**\nis Windows 8 comes with a new store for apps called the Windows Store. You can also install Windows 7 programs. For more info about this, see Install apps and programs in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2962
Change date and time - What moved or changed in Windows 8?	** Change date and time**\nis Here's how to change the date and time: 1. Open the Search charm, type Set the date and time, tap or click Settings, and then tap or click Set the time and date. 2. Tap or click Change date and time. 3. Use the controls to change the date and time.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2963
Get to know Surface	**Get to know Surface**\n\nNow that you know the basics, letâ€™s go a little deeper.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2964
Power states: On, sleep, shut down, and restart	**Power states: On, sleep, shut down, and restart**\n\nHereâ€™s what you need to know about the Surface power states. âœª	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2965
On, off, sleep, and restart	**On, off, sleep, and restart**\n\n| On or wake | When Surface is off, press and release the power button. If nothing happens, Surface might need to be recharged. Connect the power supply and then press the power button again. |\n| --- | --- |\n| Sleep | When Surface is on press and release the power button, or close Type Cover or Touch Cover and wait a few seconds. You can also open the Settings charm, tap or click Power  , and then choose Sleep. |\n| Shut down (off) | Open the Settings charm, tap or click Power , and then choose Shut down. You can also tap or click the Power icon on the sign in screen (lower-right corner) to quickly shut down. |\n| Restart | Open the Settings charm, tap or click Power  , and then choose Restart. |\n\nâœª\n\nâœª\n\nâœª\n\nYou can also press  Ctrl+Alt+Delete,  tap or click the Power  icon  (in the lower-right corner), and then tap or click  Sleep,  Shutdown, or Restart.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2966
Sleep and hibernation	**Sleep and hibernation**\n\nIf you donâ€™t use Surface for a few minutes, it goes to sleep just like a laptop. Sleep is a power-saving state that allows Surface to quickly resume when you want to start working again.\n\nBy default, if you donâ€™t use Surface for an hour, it will go into a deep sleep called hibernation. While sleep puts your work and settings in memory and draws a small amount of power, hibernation puts your open documents and programs on your hard disk, and then turns off your Surface.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2967
On or wake - On, off, sleep, and restart	** On or wake**\nis When Surface is off, press and release the power button. If nothing happens, Surface might need to be recharged. Connect the power supply  and then press the power button again.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2968
Sleep - On, off, sleep, and restart	** Sleep**\nis When Surface is on press and release the power button, or close Type Cover or Touch Cover and wait a few seconds. You can also open the Settings charm, tap or click Power , and then choose Sleep.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2969
Shut down (off) - On, off, sleep, and restart	** Shut down (off)**\nis Open the Settings charm, tap or click Power , and then choose Shut down. You can also tap or click the Power icon on the sign in screen (lower-right corner) to quickly shut down.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2970
Restart - On, off, sleep, and restart	** Restart**\nis Open the Settings charm, tap or click Power , and then choose Restart.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2971
âœª The touchscreen	**âœª The touchscreen**\n\nThe 10.6-inch diagonal, 1080p, multi-touch screen has a 16:9 aspect ratioâ€”perfect for watching HD videos and optimized for multi-tasking with side-by-side apps.\n\nLike a smartphone, you can interact with Surface by touching the screen. For example, you can drag your finger down a page to scroll. To learn more about using touch, see the Touch: tap, slide, and beyond topic in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2972
